P0;P1;P2;P3;time;P3_2
0;0;0;0;1;0
0;0;0;0;2;0
0;0;0;0;3;0
0;0;0;50.60988518;4;0
0;0;0;386.4902001;5;0
0;0;0;411.7923259;6;58.82747512
0;0;0;978.0801785;7;122.2600223
0;0;0;1176.476208;8;123.8396009
0;0;0;1956.160357;9;183.3900335
0;0;0;1941.306679;10;176.4824254
0;0;55.21288573;2263.728315;11;220.8515429
0;0;50.60988518;2530.494259;12;202.4395407
0;0;45.42767419;2271.38371;13;181.7106968
0;0;80.20703501;2606.728638;14;200.5175875
0;0;51.8885487;1790.15493;15;129.7213717
0;0;-2.218580876;-87.6339446;16;-6.655742628
0;0;-3.327871314;-97.61755854;17;-6.655742628
-1.109290438;0;-3.327871314;-97.61755854;18;-6.655742628
-1.109290438;0;-3.327871314;-107.6011725;19;-8.874323504
-2.218580876;-1.109290438;-4.437161752;-114.2569151;20;-8.874323504
-2.218580876;-2.218580876;-4.437161752;-119.8033673;21;-8.874323504
-2.218580876;-2.218580876;-4.437161752;-125.3498195;22;-9.983613941
-3.327871314;-2.218580876;-5.54645219;-130.8962717;23;-9.983613941
-3.327871314;-3.327871314;-5.54645219;-139.7705952;24;-11.09290438
77.83282305;77.83282305;129.7213717;3398.69994;25;259.4427435
160.41407;120.3105525;240.621105;5574.388933;26;401.0351751
181.7106968;181.7106968;272.5660452;6496.15741;27;499.7044161
202.4395407;202.4395407;303.6593111;7439.653121;28;556.708737
220.8515429;220.8515429;386.4902001;8613.210174;29;607.341743
294.1373756;235.3099005;411.7923259;9294.741069;30;705.9297015
305.6500558;305.6500558;427.9100781;9780.801785;31;733.5601339
309.5990022;309.5990022;495.3584036;10526.36608;32;743.0376053
366.7800669;305.6500558;489.0400892;10514.36192;33;794.690145
352.9648507;294.1373756;470.619801;10294.80815;34;764.7571766
331.2773144;331.2773144;496.9159715;9993.532317;35;717.7675145
303.6593111;303.6593111;455.4889666;9413.438643;36;708.5383925
363.4213935;272.5660452;408.8490677;8540.402748;37;635.9874387
320.8281401;280.7246225;360.9316576;7780.082396;38;561.4492451
207.5541948;181.6099204;259.4427435;5111.022047;39;389.1641152
-8.874323504;-7.765033066;-11.09290438;-224.0766685;40;-16.63935657
