q;temp;cs;P0_q;P0_temp;P0_cs;P1_q;P1_temp;P1_cs;P2_q;P2_temp;P2_cs;P3_q;P3_temp;P3_cs
1.00E-06;-10;0;-390.7269768;-34.53282889;-533.5269768;-472.8124762;-41.78762488;-645.6124762;-505.6466759;-44.68954327;-690.4466759;-634.7945282;-56.10375562;-866.7945282
0.000101;-5;5.00E-05;13889.27302;-18.71029676;-533.5269768;16807.18752;-22.64103137;-645.6124762;17974.35332;-24.21332521;-690.4466759;22565.20547;-30.397681;-866.7945282
0.000201;0;0.0001;18057.10979;84.60287167;10016.65325;21850.62025;102.3765842;12120.06276;23368.02444;109.4860692;12962.07202;29336.4809;137.4500436;16272.41254
0.000301;5;0.00015;18057.10979;502.5804898;18057.10979;21850.62025;608.1646263;21850.62025;23368.02444;650.3982809;23368.02444;29336.4809;816.5173224;29336.4809
0.000401;10;0.0002;18057.10979;1840.339068;18057.10979;21850.62025;2226.964923;21850.62025;23368.02444;2381.615265;23368.02444;29336.4809;2989.90661;29336.4809
0.000501;15;0.00025;18057.10979;5065.557057;18057.10979;21850.62025;6129.749716;21850.62025;23368.02444;6555.426779;23368.02444;29336.4809;8229.756563;29336.4809
0.000601;20;0.0003;18057.10979;10627.44378;18057.10979;21850.62025;12860.10004;21850.62025;23368.02444;13753.16254;23368.02444;29336.4809;17265.87505;29336.4809
0.000701;25;0.00035;18057.10979;18057.10979;18057.10979;21850.62025;21850.62025;21850.62025;23368.02444;23368.02444;23368.02444;29336.4809;29336.4809;29336.4809
0.000801;30;0.0004;18057.10979;26631.49983;18057.10979;21850.62025;32226.35273;21850.62025;23368.02444;34464.29389;23368.02444;29336.4809;43266.86246;29336.4809
0.000901;35;0.00045;18057.10979;33201.14518;18057.10979;21850.62025;40176.17567;21850.62025;23368.02444;42966.18787;23368.02444;29336.4809;53940.23586;29336.4809
;40;;;28469.80541;;;34450.85696;;;36843.27759;;;46253.46537;
;45;;;-2134.103084;;;-2582.444068;;;-2761.780461;;;-3467.170276;
;50;;;-3013.553651;;;-3646.653158;;;-3899.892961;;;-4895.969518;
